	Narracja
384	W podziemnej komorze skrytki na Kaladeshu, wykutej pod miastem i przerobionej na zapomniany magazyn artefaktów, leży zagracone wnętrze — stosy skrzyń, metalowe regały, splątane rury, fragmenty automatonów, stare tablice z planami. Minimalne turkusowe światło eteru sączy się z pękniętych zbiorników, w powietrzu unoszą się świetlne pyłki. W centrum na stercie gruzu leży wyróżniony złoty artefakt — elegancki zakrzywiony element z polerowanego metalu z filigranowymi wzorami, częściowo zasypany piaskiem — obok niego rozsypane warstwy wspomnień: rozbite szkło, pogniecione blachy, zwinięte schematy, fragmenty pieczęci. Po prawej drabina do włazu w suficie — w Ghirapur renegaci ukryli pod miastem skarby, których Konsulat nigdy nie skatalogował, a kto znajdzie właściwą skrytkę, zabierze stamtąd to, co pięć innych osób zgubiło w drodze na dół.
385	Na drewnianej palisadzie wioski Skiltfolk nad jeziorem Zhava w Nephalii strażnik Północy odwraca się gwałtownie, gdy ciężka brama otwiera się przed kolejnym przybyszem. Jego halabarda z symbolem Kościoła Avacyn lśni w świetle żelaznej pochodni, a płaszcz z wilczej skóry jest mokry od mgły, która od zniknięcia Anielskiej opiekunki zalega nad całą prowincją. W tle, pod bladym światłem srebrnego księżyca, majaczą spiczaste dachy Thraben i ciche wody Gavony. Olgard ze Skiltfolk uczył wtedy swoich ludzi, że na warcie żaden szmer nie jest niewinny i żaden cień nie może zostać zignorowany.
386	W zagrodzie pod murami Garenbrigu olbrzym z Dzikich Ostępów kuca między szopą a stodołą i wkłada do ust cały placek z miodem. Jego ogromna dłoń zgarnia z przewróconego stołu bochen chleba, koło sera i pieczonego kurczaka, dary dożynkowe, które chłopi z Ardenvale szykowali na ucztę. Wokół leżą puste beczki, rozbite ule i ślady racic, a wieśniacy klęczą na błocie z pustymi dłońmi, patrząc, jak znika ich dobytek z domu i obory. Z każdym kęsem mięśnie olbrzyma pęcznieją pod lnianą tuniką, jakby spełniała się stara opowieść o głodzie, który zjadał całe stada i sioła.
387	W sercu pasma Akoum na Zendikarze pęknięcie ziemi odsłania żłób z żywej lawy, który od powrotu tytanów służy za kolebkę pomiotom. Z bulgoczącego żaru wynurzają się bezokie drony o fioletowych korpusach i chitynowych ramionach, a ich ciała stygną w czarne szkliwo, gdy wspinają się po runicznych hedronach Nahiri. Za głazem kuli się Raff Pożeracz Ślimaków z plemienia Lavastep, goblin, który szukał skrótu do Morza Srebrnego i trafił na lęgowisko. Dym z Akoum niesie zapach siarki nad spękane turnie Skittering Peaks, przypominając, że ścieżki wydeptane przez Eldrazi nigdy nie prowadzą tam, gdzie chcieli iść śmiertelnicy.
388	Na najwyższym pomoście Mana Rig nad wrzącymi równinami Shiv na Dominarii szivański goblin przeszukuje skrzynię z odzyskiem po ostatniej erupcji. Jego palce, czarne od smaru i popiołu, odrzucają pęknięte koło zębate z czasów Thran, a druga dłoń zaciska się na sześciennym kamieniu mocy, który wciąż tli się błękitem. Wokół huczą turbiny wykute przez pokolenia jego klanu, a w oddali dymią stożki Shiv, skąd przodkowie czerpali ogień dla pieca. W oczach goblina odbija się światło reliktu, bo w rodach spod Wielkiej Góry oko do przydatnego złomu jest dziedzictwem starszym niż pamięć o Urzy.
389	Na przełęczy Qal Sisma w Tarkirze Surrak, chan Temurów, kładzie dłoń na czole lodowego żywiołaka, którego abzańscy szamani wzmocnili runami wzrostu. Zamiast ciosu wystarczy dotyk, a runy przygasają, gdy duma żywiołu ustępuje przed cierpliwością gór. Kolos ugina kolana i osiada w śniegu, para z jego barków opada jak ukłon. „Ludzie kornieją przed żywiołami,” mówi Surrak do swoich łowców, „ale żywioły też potrafią uklęknąć.”
390	
391	
392	
393	W najniższych poziomach Katedry w Thraben, pośród bezcennych archiwów Kościoła Avacyn, złośliwe diabły oddają się bezmyślnemu niszczeniu. Jeden z czerwonoskórych intruzów z fanatycznym zapałem rozbija kamienny filar nośny, a każde uderzenie żeliwnego pręta wyrzuca w powietrze chmury iskier i ostrych odłamków. Ta chaotyczna natura sprawia, że rykoszetujący gruz rani zarówno próbujących opanować sytuację katarów, jak i lekkomyślnych przywoływaczy, którzy otwarli potworom drogę. Wokół stwora trawią się stulecia zapisanej wiedzy, rozświetlając dymiące korytarze niespokojnym blaskiem.
394	
395	W mrocznych granicach Sylvanii, gdzie wampirzy władcy z rodu von Carstein wciąż szerzą spaczenie, nawet głęboko pogrzebani zmarli nie zaznają spokoju. W strugach ulewnego deszczu, pośród rozmiękłego błota starego cmentarza, dawno zapomniany gwardzista grobowy przebija się przez warstwy ziemi, wezwany na nowo niewidzialną wolą nekromanty. Jego pordzewiała zbroja i fioletowy blask w pustych oczodołach stanowią fizyczny dowód na to, że prawdziwe zło zawsze znajduje drogę powrotną na powierzchnię. Ułamana łopata pozostawiona przez miejscowych grabarzy świadczy o ich daremnej nadziei, że przysypanie grobu grubą warstwą ubitej ziemi wystarczy, by powstrzymać powrót zmarłego.
396	Na równinach Abzanów pod Drzewem Krewnych szamanka klęka przed dzikim anoą, kładąc dłoń na jego czole. Zielone światło przodków spływa z jej palców, a mięśnie bestii pęcznieją, kopyta ryją ziemię jak podczas szarży. Między nadgarstkiem kobiety a rogiem zwierzęcia zawiązuje się świetlista nić przysięgi, której nie zerwie nawet szał bitewny. Anoa ryczy i rusza przed siebie, tratując wrogów, lecz nigdy nie odwraca się przeciw tej, która obudziła w nim dzikość.
397	
398	
399	Na skutych mrozem cmentarzyskach w Nephalia najwięksi badacze tajemnic często odnajdują jedynie swój własny koniec. Zbyt dociekliwy śledczy, szukający śladów zakazanej magii, zostaje w ułamku sekundy uwięziony w nieustępliwym, lodowym więzieniu. Strażnikiem tej klątwy jest owinięty w całuny, bezimienny ożywieniec, którego sama obecność potęguje mroźne zaklęcia rzucane przez ukrytego w cieniu nekromantę. Podczas gdy intruz pozostaje bezsilnie zamrożony, magiczny zwój w dłoniach sługi przekazuje swojemu panu nowo zdobytą wiedzę o zamiarach wroga.
400	
401	Gniew boga kuźni, Purphorosa, to nie tylko niszczycielski żywioł, ale nagły wyrok wydany z samego wnętrza góry Velus. Kiedy wataha minotaurów pod sztandarem Mogisa próbowała zbezcześcić obrzeża polis Akros, niebiosa odpowiedziały uderzeniem rozżarzonych boskich narzędzi. Nieziemska temperatura w mgnieniu oka stopiła pancerze najeźdźców i zamieniła ich oręż w płynną stal, odbierając im jakąkolwiek szansę na przetrwanie tego starcia. W stygnących kałużach płynnego brązu i porzuconych tarczach, miejscowi wyrocznie dostrzegają już świetliste gwiazdy Nyx, odczytując z nich zwiastuny nadchodzącej przyszłości.
402	
403	Głęboko na trzęsawiskach Mephidross, biomechaniczni zwiadowcy demona Azax-Azoga bezszelestnie patrolują skorodowane, metaliczne konstrukcje Mirrodinu. Gdy infiltrator ze szczepu Neurok zbliża się zbytnio do tajemnic tana, phyrexiański nietoperz wykonuje swój ostateczny, samobójczy protokół. Metalowy pancerz stworzenia pęka, uwalniając wysoce stężony gaz necrogenu, który w ułamku sekundy niszczy układ nerwowy i wspomnienia ofiary. W tej chmurze zaprojektowanego przerażenia, mirrański ruch oporu traci nie tylko bezcenne informacje wywiadowcze, ale również same umysły, które miały je dostarczyć.
404	
405	
406	
407	
408	
409	
410	
411	
412	
413	
414	
415	
416	
417	
418	
419	W nieskończonych korytarzach Domu na planie Duskmourn najstarsze ludzkie lęki rodzą się w trzewiach labiryntu i przybierają bezlitosną, fizyczną formę. Koszmar uosabiający strach przed płomieniami nie musi nawet dotykać swoich ofiar, gdyż sama jego obecność emituje falę miażdżącego gorąca, która natychmiast osłabia każdego w pomieszczeniu. Gdy umysł ocalałych ulega powolnemu załamaniu i zaczyna mieszać rzeczywistość z koszmarnymi wspomnieniami, aura istoty potęguje swoją moc. Wtedy nawet istoty przyzwane do obrony obracają się w stertę popiołu, nie mogąc znieść niszczycielskiej temperatury otaczającej demona.
420	W ponurych granicach Sylvanii nawet proste wejście do domowych podziemi może okazać się niebezpiecznym progiem oddzielającym świat żywych od domen wampirzych władców. Masywne, okute żelazem drzwi miały chronić najgłębiej zmagazynowane zapasy przed wilgocią, lecz z czasem stały się jedyną barierą przed tym, co przebudziło się u samych fundamentów. Ktoś nieostrożny zszedł na dół, zrywając stare pieczęcie i otwierając drogę zapomnianym lokatorom krypt. Dziś porzucona w panice latarnia jest jedynym śladem po intruzie, a zza uchylonych wrót wyłania się powolny, bezimienny nieumarły, szukający wyjścia na powierzchnię.
421	W obozie wojskowym na Dominarii Mishra gwałtownie wyrywa się z kolejnego koszmaru zesłanego przez zgubne szepty Phyrexii. Wizje zgrzytającego metalu i duszącego oleju są tak namacalne, że w panicznym przebudzeniu inżynier własnoręcznie niszczy owoce swojej wielotygodniowej pracy. Rozlany atrament, do złudzenia przypominający zarazę z jego snów, bezpowrotnie zalewa najnowsze plany taktyczne, podczas gdy na podłodze leżą roztrzaskane w amoku resztki wydobytych z jaskiń Koilosa artefaktów. Gix i jego słudzy nie muszą atakować wprost; wystarczy, że zaszczepią w umyśle wodza paraliżujący strach, który zmusi go do zniszczenia własnej przyszłości i odcięcia się od odkryć przeszłości.
422	Na niebezpiecznych granicach Złotego Lasu strażnicy z Lothlórien rzadko ujawniają się obcym, lecz potrafią w ułamku sekundy odmienić losy leśnej zasadzki. Gdy pomioty mroku próbują usidlić samotnego jeźdźca z Rohanu, elfickie błogosławieństwo materializuje się pod postacią nagłej kopuły czystego światła gwiazd. Starożytna magia natychmiastowo spopiela każdy kontakt z mroczną pajęczyną, tworząc barierę absolutnie nieprzeniknioną dla zagrożenia o tym konkretnym, mrocznym pochodzeniu. Nawet najcięższa zbroja kuta w kuźniach Edoras nie zapewniłaby takiego ocalenia, jakie daje jeden świetlisty gest obrońców puszczy.
423	
424	
425	
426	
427	
428	W mrocznych podziemiach Akademii Oxenfurckiej uczeni nieustannie przesuwają granice wiedzy, traktując ofiary klątw jako obiekty eksperymentalne. Jeden z badaczy postanowił zmierzyć niszczycielski potencjał schwytanego wilkołaka, zamykając go w celi z opancerzonym celem. Nałożona na szyję potwora dwimerytowa obroża rezonuje jasnym światłem przy każdym potężnym ciosie zadanym przez kreaturę, obrazując przepływ magicznej energii wywołanej furią. Podczas gdy bestia poddaje się pierwotnemu instynktowi, obserwujący ją człowiek skrupulatnie notuje trajektorie ciosów, zamieniając brutalną agresję w cenne akademickie zapiski.
429	
430	W cieniu starych drzew na granicach Dol Blathanna, dumni Aen Seidhe nie zamierzają biernie patrzeć, jak dh'oine systematycznie karczują puszczę pod nowe osady. Nocami elfie znachorki z oddziałów Scoia'tael bezszelestnie przeszukują leśne poszycie, zbierając toksyczne wilcze jagody, które kwitną najpełniej w srebrzystym blasku księżyca. Każdy kolejny fragment terytorium bezprawnie zajęty przez ludzi spotyka się z cichą, lecz bezlitosną odpowiedzią, gdy zebrane rośliny zostają przetworzone na gęsty jad pokrywający partyzanckie strzały. W ten sposób dawni panowie tych ziem zamieniają każdy skrawek natury w swój mroczny ogród, a każda fiolka wyekstrahowanej trucizny czyni rebelię silniejszą i gotową do następnego uderzenia.
431	Sezonowe powodzie na Tarkirze sprawiły, że mętne wody Delty Rzeki Marang wystąpiły z brzegów, zatapiając szlaki handlowe sąsiadujących z nią terytoriów. Wraz z postępującą falą z bagnistych domen wylęgły się chmary ogromnych much, które teraz poszukują pożywienia daleko poza swoim naturalnym środowiskiem. Oślizgły, chitynowy drapieżnik osacza podróżnika w płaskodennej łodzi, którego ciało wciąż nosi magicznie pulsujące ślady po wcześniejszych starciach z plagą. Sama obecność roju w niewyjaśniony sposób podrażnia stare rany, boleśnie osłabiając organizmy uciekinierów i nieubłaganie wyczerpując ich życiowe siły.
432	U wybrzeży Cidaris morskie panny rzadko zbliżają się do lądu, trzymając się z dala od śmiercionośnych harpunów miejscowych wielorybników. Ta jedna syrena, nosząca na plecach szramy po rzuconych sieciach, dobrowolnie porzuca spienione fale oceanu i wychodzi na ostre skały. Pod wpływem starożytnej, głębinowej magii jej błyszczący rybi ogon pęka i łuszczy się, odsłaniając blade, przystosowane do chodzenia nogi. Uzbrojona w skradziony nóż, istota stawia pierwsze kroki na suchym lądzie, zmierzając prosto ku portowej karczmie w poszukiwaniu winnych rzezi jej stada.
433	W najgłębszych ostępach Lasu Nessian na Therosie oddział akroaskich hoplitów przerywa swój marsz, gdy z gęstwiny dobiega ich wycie dzikich bestii. W odpowiedzi na inwazję śmiertelników z tkanki samego lasu wyłania się Nylea, potężna bogini łowów, której eteryczne ciało lśni gwiezdnym blaskiem Nyx. Porażeni jaskrawym, szmaragdowym światłem i boskim majestatem żołnierze upuszczają swój oręż, a ich zapał bitewny natychmiast wygasa w obliczu bóstwa. Jedynie naznaczone magią, uformowane z konstelacji drapieżniki ze stada bogini są zdolne swobodnie kontynuować łowy, mijając sparaliżowanych intruzów.
434	W trzewiach wieży Nivix gildia Izzet nieustannie przesuwa granice bezpiecznej magii, próbując zrealizować wielką, chaotyczną wizję samego Smoka-Geniusza, Niv-Mizzeta. Gwałtowne przeciążenie reaktora z mizzium nie jest traktowane przez chemisterów jako katastrofalna awaria, lecz jako pożądany punkt kulminacyjny trwających miesiącami obliczeń. W ułamku sekundy z uszkodzonej komory uwalnia się kaskada niepowiązanych ze sobą żywiołów, łącząc niszczycielski ogień z nienaturalnymi wyładowaniami w jednym wybuchu nieskrępowanej energii. Choć większość bezcennych notatek badawczych przepada bezpowrotnie w tym chaosie, to sama manifestacja tak potężnej siły w pełni rekompensuje badaczom zrujnowane laboratorium.
435	W zapomnianym sanktuarium na obrzeżach Królestwa Cornelia, pradawny oręż cierpliwie czeka na kogoś godnego tytułu Wojownika Światła. Gdy bezimienny wędrowiec o czystych intencjach chwyta za rękojeść, uśpiona w ostrzu magia natychmiastowo budzi się do życia, odpowiadając na jego potencjał. Potężna energia krystalizuje się wokół ciała adepta, tworząc fizyczny, karmazynowy pancerz i bezpowrotnie transformując go z prostego poszukiwacza przygód w elitarnego mistrza miecza. Ten jeden moment wyboru ścieżki jest ostatecznym przypieczętowaniem losu bohatera, który od teraz musi stanąć na pierwszej linii frontu w walce z chaosem.
